fpts,player,position,team,Value,points_per_dollar,position.x_QB,position.x_RB,position.x_TE,position.x_WR,position.x_FLEX
286.5,Joe BurrowCin,QB,CIN,1,286.5,1,0,0,0,0
269.2,Trevor LawrenceJax,QB,JAC,1,269.2,1,0,0,0,0
265.5,Tua TagovailoaMia,QB,MIA,1,265.5,1,0,0,0,0
321.3,Tom BradyTB,QB,TB,2,160.65,1,0,0,0,0
293.4,Ryan TannehillTen,QB,TEN,2,146.7,1,0,0,0,0
282.3,Matthew StaffordLAR,QB,LAR,2,141.15,1,0,0,0,0
321.4,Aaron RodgersGB,QB,GB,4,80.35,1,0,0,0,0
314.4,Russell WilsonSea,QB,SEA,4,78.6,1,0,0,0,0
310.5,Justin HerbertLAC,QB,LAC,4,77.625,1,0,0,0,0
345,Dak PrescottDal,QB,DAL,7,49.285714285714285,1,0,0,0,0
356.2,Kyler MurrayAri,QB,ARI,8,44.525,1,0,0,0,0
376.5,Josh AllenBuf,QB,BUF,13,28.96153846153846,1,0,0,0,0
373.9,Patrick MahomesKC,QB,KC,13,28.76153846153846,1,0,0,0,0
142.9,J.D. McKissicWsh,RB,WAS,1,142.9,0,1,0,0,1
140.3,James WhiteNE,RB,NE,1,140.3,0,1,0,0,1
127.4,David JohnsonHou,RB,HOU,1,127.4,0,1,0,0,1
127.2,Devin SingletaryBuf,RB,BUF,1,127.2,0,1,0,0,1
117.6,Gus EdwardsBal,RB,BAL,1,117.6,0,1,0,0,1
113.4,Malcolm BrownMia,RB,MIA,1,113.4,0,1,0,0,1
109.9,Tony PollardDal,RB,DAL,1,109.9,0,1,0,0,1
167,Kenyan DrakeLV,RB,LV,2,83.5,0,1,0,0,1
161.6,Leonard FournetteTB,RB,TB,2,80.8,0,1,0,0,1
150.2,Zack MossBuf,RB,BUF,2,75.1,0,1,0,0,1
149.2,James ConnerAri,RB,ARI,2,74.6,0,1,0,0,1
148.3,AJ DillonGB,RB,GB,2,74.15,0,1,0,0,1
145.5,Jamaal WilliamsDet,RB,DET,2,72.75,0,1,0,0,1
141.6,Nyheim HinesInd,RB,IND,2,70.8,0,1,0,0,1
139.2,Michael CarterNYJ,RB,NYJ,2,69.6,0,1,0,0,1
139.2,Ronald Jones IITB,RB,TB,2,69.6,0,1,0,0,1
129.1,Phillip LindsayHou,RB,HOU,2,64.55,0,1,0,0,1
119.5,Trey SermonSF,RB,SF,2,59.75,0,1,0,0,1
166.9,Darrell Henderson Jr.LAR,RB,LAR,3,55.63333333333333,0,1,0,0,1
156,Raheem MostertSF,RB,SF,3,52,0,1,0,0,1
193.1,Mike DavisAtl,RB,ATL,6,32.18333333333333,0,1,0,0,1
173.7,Damien HarrisNE,RB,NE,6,28.95,0,1,0,0,1
168,Sony MichelLAR,RB,LAR,6,28,0,1,0,0,1
190.4,Myles GaskinMia,RB,MIA,10,19.04,0,1,0,0,1
208.9,Chase EdmondsAri,RB,ARI,12,17.408333333333335,0,1,0,0,1
182.2,Kareem HuntCle,RB,CLE,11,16.563636363636363,0,1,0,0,1
227.5,Josh JacobsLV,RB,LV,14,16.25,0,1,0,0,1
174,Javonte WilliamsDen,RB,DEN,11,15.818181818181818,0,1,0,0,1
228.5,Chris CarsonSea,RB,SEA,15,15.233333333333333,0,1,0,0,1
238.5,D'Andre SwiftDet,RB,DET,22,10.840909090909092,0,1,0,0,1
216.6,J.K. DobbinsBal,RB,BAL,22,9.845454545454546,0,1,0,0,1
238.2,Miles SandersPhi,RB,PHI,25,9.527999999999999,0,1,0,0,1
241.9,James RobinsonJax,RB,JAC,26,9.303846153846154,0,1,0,0,1
233.4,David MontgomeryChi,RB,CHI,26,8.976923076923077,0,1,0,0,1
243.6,Clyde Edwards-HelaireKC,RB,KC,32,7.6125,0,1,0,0,1
243.1,Joe MixonCin,RB,CIN,33,7.366666666666666,0,1,0,0,1
255.7,Najee HarrisPit,RB,PIT,42,6.088095238095238,0,1,0,0,1
258.9,Antonio GibsonWsh,RB,WAS,43,6.020930232558139,0,1,0,0,1
264.8,Aaron JonesGB,RB,GB,45,5.884444444444445,0,1,0,0,1
259.4,Nick ChubbCle,RB,CLE,45,5.764444444444444,0,1,0,0,1
264,Austin EkelerLAC,RB,LAC,46,5.739130434782608,0,1,0,0,1
266.9,Jonathan TaylorInd,RB,IND,48,5.560416666666666,0,1,0,0,1
272.2,Ezekiel ElliottDal,RB,DAL,50,5.444,0,1,0,0,1
334.2,Christian McCaffreyCar,RB,CAR,62,5.390322580645161,0,1,0,0,1
304.7,Dalvin CookMin,RB,MIN,59,5.164406779661017,0,1,0,0,1
297.3,Alvin KamaraNO,RB,NO,58,5.125862068965517,0,1,0,0,1
286.1,Derrick HenryTen,RB,TEN,56,5.108928571428572,0,1,0,0,1
284.7,Saquon BarkleyNYG,RB,NYG,59,4.8254237288135595,0,1,0,0,1
139.1,Tyler HigbeeLAR,TE,LAR,1,139.1,0,0,1,0,0
135.8,Irv Smith Jr.Min,TE,MIN,1,135.8,0,0,1,0,0
130.2,Evan EngramNYG,TE,NYG,1,130.2,0,0,1,0,0
158.8,Dallas GoedertPhi,TE,PHI,2,79.4,0,0,1,0,0
153.2,Robert TonyanGB,TE,GB,2,76.6,0,0,1,0,0
144.2,Jonnu SmithNE,TE,NE,2,72.1,0,0,1,0,0
141.9,Mike GesickiMia,TE,MIA,2,70.95,0,0,1,0,0
155.5,Noah FantDen,TE,DEN,4,38.875,0,0,1,0,0
190.5,Kyle PittsAtl,TE,ATL,8,23.8125,0,0,1,0,0
225.2,George KittleSF,TE,SF,28,8.042857142857143,0,0,1,0,0
241.5,Darren WallerLV,TE,LV,32,7.546875,0,0,1,0,0
306.1,Travis KelceKC,TE,KC,53,5.775471698113208,0,0,1,0,0
170.3,Jakobi MeyersNE,WR,NE,1,170.3,0,0,0,1,1
163.4,Tyrell WilliamsDet,WR,DET,1,163.4,0,0,0,1,1
161.3,Mecole HardmanKC,WR,KC,1,161.3,0,0,0,1,1
139.2,Parris CampbellInd,WR,IND,1,139.2,0,0,0,1,1
172.3,Henry Ruggs IIILV,WR,LV,2,86.15,0,0,0,1,1
168.3,Marquez CallawayNO,WR,NO,2,84.15,0,0,0,1,1
196.3,Curtis SamuelWsh,WR,WAS,3,65.43333333333334,0,0,0,1,1
194.9,Jarvis LandryCle,WR,CLE,3,64.96666666666667,0,0,0,1,1
193,Marquise BrownBal,WR,BAL,3,64.33333333333333,0,0,0,1,1
191.8,Corey DavisNYJ,WR,NYJ,3,63.93333333333334,0,0,0,1,1
187.6,Mike WilliamsLAC,WR,LAC,3,62.53333333333333,0,0,0,1,1
179.9,Jaylen WaddleMia,WR,MIA,3,59.96666666666667,0,0,0,1,1
176,Antonio BrownTB,WR,TB,3,58.666666666666664,0,0,0,1,1
198.8,Marvin Jones Jr.Jax,WR,JAC,4,49.7,0,0,0,1,1
197.3,DeVonta SmithPhi,WR,PHI,4,49.325,0,0,0,1,1
193.6,Deebo SamuelSF,WR,SF,4,48.4,0,0,0,1,1
192.4,DJ Chark Jr.Jax,WR,JAC,4,48.1,0,0,0,1,1
172.2,Michael ThomasONO,WR,NO,4,43.05,0,0,0,1,1
205.8,Michael GallupDal,WR,DAL,5,41.160000000000004,0,0,0,1,1
213.3,Brandin CooksHou,WR,HOU,6,35.550000000000004,0,0,0,1,1
211.9,Jerry JeudyDen,WR,DEN,7,30.271428571428572,0,0,0,1,1
211.3,Chase ClaypoolPit,WR,PIT,7,30.185714285714287,0,0,0,1,1
205.5,Ja'Marr ChaseCin,WR,CIN,7,29.357142857142858,0,0,0,1,1
216.2,Robby AndersonCar,WR,CAR,9,24.022222222222222,0,0,0,1,1
212.4,JuJu Smith-SchusterPit,WR,PIT,9,23.6,0,0,0,1,1
214.9,Courtland SuttonDen,WR,DEN,10,21.490000000000002,0,0,0,1,1
214.6,Kenny GolladayNYG,WR,NYG,10,21.46,0,0,0,1,1
198.8,Odell Beckham Jr.Cle,WR,CLE,10,19.880000000000003,0,0,0,1,1
215.1,Tee HigginsCin,WR,CIN,15,14.34,0,0,0,1,1
224.7,DJ MooreCar,WR,CAR,17,13.217647058823529,0,0,0,1,1
217.8,Brandon AiyukSF,WR,SF,17,12.811764705882354,0,0,0,1,1
235,Cooper KuppLAR,WR,LAR,19,12.368421052631579,0,0,0,1,1
221.5,Julio JonesTen,WR,TEN,18,12.305555555555555,0,0,0,1,1
240.3,Tyler LockettSea,WR,SEA,20,12.015,0,0,0,1,1
228.2,Diontae JohnsonPit,WR,PIT,19,12.010526315789473,0,0,0,1,1
241.2,Adam ThielenMin,WR,MIN,21,11.485714285714286,0,0,0,1,1
225.9,Chris GodwinTB,WR,TB,21,10.757142857142858,0,0,0,1,1
244.1,Mike EvansTB,WR,TB,23,10.613043478260868,0,0,0,1,1
232.9,Amari CooperDal,WR,DAL,22,10.586363636363636,0,0,0,1,1
246.2,Robert WoodsLAR,WR,LAR,24,10.258333333333333,0,0,0,1,1
254.6,Keenan AllenLAC,WR,LAC,30,8.486666666666666,0,0,0,1,1
257.5,Terry McLaurinWsh,WR,WAS,31,8.306451612903226,0,0,0,1,1
244.7,Allen Robinson IIChi,WR,CHI,30,8.156666666666666,0,0,0,1,1
271.2,A.J. BrownTen,WR,TEN,35,7.748571428571428,0,0,0,1,1
290.7,DeAndre HopkinsAri,WR,ARI,38,7.6499999999999995,0,0,0,1,1
259.7,Justin JeffersonMin,WR,MIN,34,7.638235294117647,0,0,0,1,1
274.5,DK MetcalfSea,WR,SEA,36,7.625,0,0,0,1,1
303.2,Stefon DiggsBuf,WR,BUF,40,7.58,0,0,0,1,1
275.6,Calvin RidleyAtl,WR,ATL,37,7.448648648648649,0,0,0,1,1
309.1,Tyreek HillKC,WR,KC,44,7.025,0,0,0,1,1
322.4,Davante AdamsGB,WR,GB,51,6.32156862745098,0,0,0,1,1
